,0
432,1.5995318
433,1.2148669
434,0.8678968
435,0.54468405
436,0.2539626
437,0.06716595
438,0.018351778
439,0.00560659
440,0.00428533
441,0.003268486
442,0.0015775282
443,0.0
444,0.0
445,0.0
446,0.003388226
447,0.02323097
448,0.018758021
449,0.016710818
450,0.01037778
451,0.007453844
452,0.0044368766
453,0.0
454,0.003392398
455,0.004740914
456,0.00322164
457,0.002408391
458,0.003814947
459,0.013228669
460,0.012346713
461,0.011496114
462,0.007708499
463,0.0030228775
464,0.0071311165
465,0.020494083
466,0.04948277
467,0.18146835
468,2.513883
469,5.965574
470,5.2875414
471,4.514774
472,3.481626
473,2.655823
474,1.9546387
475,1.367918
476,0.8687668
477,0.43083885
478,0.11959047
479,0.034227207
480,0.012190927
481,0.008024842
482,0.007706575
483,0.005983934
484,0.0038451701
485,0.0013619661
486,0.0
487,0.0
488,0.0
489,0.0016110055
490,0.010615818
491,0.025226936
492,0.034503024
493,0.033206183
494,0.029824637
495,0.015440624
496,0.0051996782
497,0.00029110909
498,0.0013208762
499,0.0023340434
500,0.0020024031
501,0.004433371
502,0.010531999
503,0.0075327307
504,0.0033617616
505,0.0010591
506,0.00063690543
507,0.0023346245
508,0.0044341683
509,0.00780347
510,0.0078392625
511,0.014428288
512,0.026001662
513,0.061993197
514,0.21637712
515,0.6081176
516,0.78124166
517,0.6837785
518,0.5805481
519,0.48137552
520,0.37636858
521,0.27198622
522,0.17596139
523,0.09398028
524,0.053022623
525,0.03487599
526,0.024226218
527,0.015236355
528,0.008181855
529,0.003884256
530,0.00075910985
531,0.00088698417
532,0.0036084522
533,0.01643011
534,0.02422604
535,0.021367656
536,0.012283172
537,0.0072568865
538,0.005606775
539,0.0045892447
540,0.006251447
541,0.0072334483
542,0.0078859255
543,0.0047390163
544,0.0029784516
545,0.0043136254
546,0.005249217
547,0.0062447414
548,0.006664112
549,0.0093126
550,0.011739831
551,0.0151503235
552,0.013690371
553,0.0127861425
554,0.012836007
555,0.023330353
556,0.024538647
557,1.2278045
558,4.1874957
559,3.9970992
560,3.692632
561,3.01657
562,2.3974175
563,1.8912144
564,1.4262432
565,1.021376
566,0.7061093
567,0.5375668
568,0.40904966
569,0.30289435
570,0.21177647
571,0.1454471
572,0.08768626
573,0.04179588
574,0.018539937
575,0.013645157
576,0.013040207
577,0.016612545
578,0.024299763
579,0.02265031
580,0.013165967
581,0.00729774
582,0.002541393
583,0.0
584,0.0012493907
585,0.010941024
586,0.035666525
587,0.10890129
588,0.21694104
589,0.25466287
590,0.15979066
591,0.03999726
592,0.031197868
593,0.024636328
594,0.021734968
595,0.020734495
596,0.019376792
597,0.018874414
598,0.013077896
599,0.009930927
600,0.012690343
601,0.018393505
602,0.026009735
603,0.017876592
604,0.008651005
605,0.015807644
606,0.015802322
607,0.03114524
608,0.11990963
609,0.6434867
610,0.823278
611,0.83673155
612,0.7751115
613,0.67729443
614,0.54725325
615,0.36428294
616,0.18952183
617,0.09056384
618,0.04563325
619,0.02840038
620,0.023265155
621,0.016591871
622,0.009887993
623,0.004628621
624,0.0020360705
625,0.00033679046
626,0.00265871
627,0.0018824786
628,0.0009508617
629,0.00479858
630,0.005204793
631,0.0029257685
632,0.0
633,0.00040271133
634,0.000760667
635,0.0046632774
636,0.009744436
637,0.015304193
638,0.014637981
639,0.009987883
